image,class,split
RAISE-1k/tiff/r0b0e2ba5t.TIF,0,test
RAISE-1k/tiff/r0b3979d0t.TIF,0,test
RAISE-1k/tiff/r0b59fc2bt.TIF,0,test
RAISE-1k/tiff/r0b6e4254t.TIF,0,test
RAISE-1k/tiff/r0b735401t.TIF,0,test
RAISE-1k/tiff/r0b7b1156t.TIF,0,test
RAISE-1k/tiff/r0bdc7894t.TIF,0,test
RAISE-1k/tiff/r0c9910e4t.TIF,0,test
RAISE-1k/tiff/r0cde6159t.TIF,0,test
RAISE-1k/tiff/r0ce35df8t.TIF,0,test
RAISE-1k/tiff/r0d203f37t.TIF,0,test
RAISE-1k/tiff/r0d56c1d7t.TIF,0,test
RAISE-1k/tiff/r0d89edd8t.TIF,0,test
RAISE-1k/tiff/r0e04cc91t.TIF,0,test
RAISE-1k/tiff/r0e5dfc8et.TIF,0,test
RAISE-1k/tiff/r0e7b407bt.TIF,0,test
RAISE-1k/tiff/r0eab8214t.TIF,0,test
RAISE-1k/tiff/r0eb07be3t.TIF,0,test
RAISE-1k/tiff/r0ebdd2d2t.TIF,0,test
RAISE-1k/tiff/r0eea5a7et.TIF,0,test
RAISE-1k/tiff/r0fae3dbdt.TIF,0,test
RAISE-1k/tiff/r0faffef3t.TIF,0,test
RAISE-1k/tiff/r0fbb5bc1t.TIF,0,test
RAISE-1k/tiff/r0fbd0c71t.TIF,0,test
RAISE-1k/tiff/r0fbf62f8t.TIF,0,test
RAISE-1k/tiff/r0fd69c12t.TIF,0,test
RAISE-1k/tiff/r0fdfc4f0t.TIF,0,test
RAISE-1k/tiff/r0fe270aet.TIF,0,test
RAISE-1k/tiff/r0fe7b1c6t.TIF,0,test
RAISE-1k/tiff/r0fef53bft.TIF,0,test
RAISE-1k/tiff/r0ff7a848t.TIF,0,test
RAISE-1k/tiff/r10134c59t.TIF,0,test
RAISE-1k/tiff/r101af5b4t.TIF,0,test
RAISE-1k/tiff/r101d6690t.TIF,0,test
RAISE-1k/tiff/r101eab0dt.TIF,0,test
RAISE-1k/tiff/r1023c21et.TIF,0,test
RAISE-1k/tiff/r102b4aa4t.TIF,0,test
RAISE-1k/tiff/r103a4f26t.TIF,0,test
RAISE-1k/tiff/r104153eat.TIF,0,test
RAISE-1k/tiff/r10940798t.TIF,0,test
RAISE-1k/tiff/r10a9ca2at.TIF,0,test
RAISE-1k/tiff/r10c5fc29t.TIF,0,test
RAISE-1k/tiff/r10cf67d1t.TIF,0,test
RAISE-1k/tiff/r10e36316t.TIF,0,test
RAISE-1k/tiff/r10f888c2t.TIF,0,test
RAISE-1k/tiff/r110b4219t.TIF,0,test
RAISE-1k/tiff/r110cc74ct.TIF,0,test
RAISE-1k/tiff/r110f894ft.TIF,0,test
RAISE-1k/tiff/r113402d4t.TIF,0,test
RAISE-1k/tiff/r1138e1aft.TIF,0,test
RAISE-1k/tiff/r115c449dt.TIF,0,test
RAISE-1k/tiff/r07ece355t.TIF,0,test
RAISE-1k/tiff/r07f22efdt.TIF,0,test
RAISE-1k/tiff/r08079988t.TIF,0,test
RAISE-1k/tiff/r0809811bt.TIF,0,test
RAISE-1k/tiff/r083ca67ct.TIF,0,test
RAISE-1k/tiff/r084a4ccet.TIF,0,test
RAISE-1k/tiff/r085bdbe2t.TIF,0,test
RAISE-1k/tiff/r08b05c94t.TIF,0,test
RAISE-1k/tiff/r08b12799t.TIF,0,test
RAISE-1k/tiff/r09488b39t.TIF,0,test
RAISE-1k/tiff/r09579ff2t.TIF,0,test
RAISE-1k/tiff/r0965e155t.TIF,0,test
RAISE-1k/tiff/r097d3563t.TIF,0,test
RAISE-1k/tiff/r09c8e042t.TIF,0,test
RAISE-1k/tiff/r0a4ce555t.TIF,0,test
RAISE-1k/tiff/r0a8e5f8at.TIF,0,test
RAISE-1k/tiff/r0a94587ft.TIF,0,test
RAISE-1k/tiff/r0a966704t.TIF,0,test
RAISE-1k/tiff/r0aaa70c3t.TIF,0,test
RAISE-1k/tiff/r0ac70243t.TIF,0,test
RAISE-1k/tiff/r0ae68527t.TIF,0,test
RAISE-1k/tiff/r0b07b945t.TIF,0,test
RAISE-1k/tiff/r0b0cd69et.TIF,0,test
RAISE-1k/tiff/r05f3bc6ct.TIF,0,test
RAISE-1k/tiff/r061433aft.TIF,0,test
RAISE-1k/tiff/r061db45ft.TIF,0,test
RAISE-1k/tiff/r06691aa5t.TIF,0,test
RAISE-1k/tiff/r068812d7t.TIF,0,test
RAISE-1k/tiff/r06888d38t.TIF,0,test
RAISE-1k/tiff/r0708431at.TIF,0,test
